FE,N,Eval,p_target,Iteration,Alg
17919,2,Sphere,0.9,4,cma-es-ppmf-dp-2-pt-0.9
12579,5,Sphere,0.1,4,cma-es-ppmf-dp-2-pt-0.1
13619,5,Sphere,0.2,4,cma-es-ppmf-dp-2-pt-0.2
15959,5,Sphere,0.3,4,cma-es-ppmf-dp-2-pt-0.3
19079,5,Sphere,0.4,4,cma-es-ppmf-dp-2-pt-0.4
29119,5,Sphere,0.5,4,cma-es-ppmf-dp-2-pt-0.5
50019,5,Sphere,0.6,4,cma-es-ppmf-dp-2-pt-0.6
17879,5,Sphere,0.9,4,cma-es-ppmf-dp-2-pt-0.9
42999,10,Sphere,0.1,4,cma-es-ppmf-dp-2-pt-0.1
57639,10,Sphere,0.2,4,cma-es-ppmf-dp-2-pt-0.2
99839,10,Sphere,0.3,4,cma-es-ppmf-dp-2-pt-0.3
66479,10,Sphere,0.4,4,cma-es-ppmf-dp-2-pt-0.4
77279,10,Sphere,0.5,4,cma-es-ppmf-dp-2-pt-0.5
100039,10,Sphere,0.6,4,cma-es-ppmf-dp-2-pt-0.6
45359,10,Sphere,0.9,4,cma-es-ppmf-dp-2-pt-0.9
300119,30,Sphere,0.1,4,cma-es-ppmf-dp-2-pt-0.1
300119,30,Sphere,0.2,4,cma-es-ppmf-dp-2-pt-0.2
300119,30,Sphere,0.3,4,cma-es-ppmf-dp-2-pt-0.3
300119,30,Sphere,0.4,4,cma-es-ppmf-dp-2-pt-0.4
300119,30,Sphere,0.5,4,cma-es-ppmf-dp-2-pt-0.5
300119,30,Sphere,0.6,4,cma-es-ppmf-dp-2-pt-0.6
300119,30,Sphere,0.9,4,cma-es-ppmf-dp-2-pt-0.9
500199,50,Sphere,0.1,4,cma-es-ppmf-dp-2-pt-0.1
500199,50,Sphere,0.2,4,cma-es-ppmf-dp-2-pt-0.2
500199,50,Sphere,0.3,4,cma-es-ppmf-dp-2-pt-0.3
500199,50,Sphere,0.4,4,cma-es-ppmf-dp-2-pt-0.4
500199,50,Sphere,0.5,4,cma-es-ppmf-dp-2-pt-0.5
500199,50,Sphere,0.6,4,cma-es-ppmf-dp-2-pt-0.6
500199,50,Sphere,0.9,4,cma-es-ppmf-dp-2-pt-0.9
3863,2,Ellips10,0.1,4,cma-es-ppmf-dp-2-pt-0.1
3703,2,Ellips10,0.2,4,cma-es-ppmf-dp-2-pt-0.2
4399,2,Ellips10,0.3,4,cma-es-ppmf-dp-2-pt-0.3
5183,2,Ellips10,0.4,4,cma-es-ppmf-dp-2-pt-0.4
7255,2,Ellips10,0.5,4,cma-es-ppmf-dp-2-pt-0.5
15903,2,Ellips10,0.6,4,cma-es-ppmf-dp-2-pt-0.6
4783,2,Ellips10,0.9,4,cma-es-ppmf-dp-2-pt-0.9
12759,5,Ellips10,0.1,4,cma-es-ppmf-dp-2-pt-0.1
