FE,N,Eval,d_param,Iteration,Alg
3983,2,Ellips10,0.01,5,cma-es-ppmf-dp-0.01-pt-0.1
3719,2,Ellips10,0.1,5,cma-es-ppmf-dp-0.1-pt-0.1
3591,2,Ellips10,1,5,cma-es-ppmf-dp-1-pt-0.1
6887,2,Ellips10,10,5,cma-es-ppmf-dp-10-pt-0.1
5735,2,Ellips10,100,5,cma-es-ppmf-dp-100-pt-0.1
13539,5,Ellips10,0.01,5,cma-es-ppmf-dp-0.01-pt-0.1
12679,5,Ellips10,0.1,5,cma-es-ppmf-dp-0.1-pt-0.1
12439,5,Ellips10,1,5,cma-es-ppmf-dp-1-pt-0.1
16539,5,Ellips10,10,5,cma-es-ppmf-dp-10-pt-0.1
26299,5,Ellips10,100,5,cma-es-ppmf-dp-100-pt-0.1
42359,10,Ellips10,0.01,5,cma-es-ppmf-dp-0.01-pt-0.1
40319,10,Ellips10,0.1,5,cma-es-ppmf-dp-0.1-pt-0.1
39999,10,Ellips10,1,5,cma-es-ppmf-dp-1-pt-0.1
31599,10,Ellips10,10,5,cma-es-ppmf-dp-10-pt-0.1
38919,10,Ellips10,100,5,cma-es-ppmf-dp-100-pt-0.1
300119,30,Ellips10,0.01,5,cma-es-ppmf-dp-0.01-pt-0.1
300119,30,Ellips10,0.1,5,cma-es-ppmf-dp-0.1-pt-0.1
300119,30,Ellips10,1,5,cma-es-ppmf-dp-1-pt-0.1
300119,30,Ellips10,10,5,cma-es-ppmf-dp-10-pt-0.1
300119,30,Ellips10,100,5,cma-es-ppmf-dp-100-pt-0.1
500199,50,Ellips10,0.01,5,cma-es-ppmf-dp-0.01-pt-0.1
500199,50,Ellips10,0.1,5,cma-es-ppmf-dp-0.1-pt-0.1
500199,50,Ellips10,1,5,cma-es-ppmf-dp-1-pt-0.1
500199,50,Ellips10,10,5,cma-es-ppmf-dp-10-pt-0.1
500199,50,Ellips10,100,5,cma-es-ppmf-dp-100-pt-0.1
4207,2,Ellips100,0.01,5,cma-es-ppmf-dp-0.01-pt-0.1
3791,2,Ellips100,0.1,5,cma-es-ppmf-dp-0.1-pt-0.1
3647,2,Ellips100,1,5,cma-es-ppmf-dp-1-pt-0.1
10255,2,Ellips100,10,5,cma-es-ppmf-dp-10-pt-0.1
19055,2,Ellips100,100,5,cma-es-ppmf-dp-100-pt-0.1
14419,5,Ellips100,0.01,5,cma-es-ppmf-dp-0.01-pt-0.1
