FE,N,Eval,lambda,Iteration,Alg
38896,30,Sphere,400,3,cma-es-ppmf-dp-2-pt-0.1
47594,30,Sphere,500,3,cma-es-ppmf-dp-2-pt-0.1
84083,30,Sphere,1000,3,cma-es-ppmf-dp-2-pt-0.1
69794,50,Sphere,10,3,cma-es-ppmf-dp-2-pt-0.1
13157,50,Sphere,50,3,cma-es-ppmf-dp-2-pt-0.1
20300,50,Sphere,100,3,cma-es-ppmf-dp-2-pt-0.1
32360,50,Sphere,200,3,cma-es-ppmf-dp-2-pt-0.1
48159,50,Sphere,300,3,cma-es-ppmf-dp-2-pt-0.1
57743,50,Sphere,400,3,cma-es-ppmf-dp-2-pt-0.1
67634,50,Sphere,500,3,cma-es-ppmf-dp-2-pt-0.1
113112,50,Sphere,1000,3,cma-es-ppmf-dp-2-pt-0.1
573528,100,Sphere,10,3,cma-es-ppmf-dp-2-pt-0.1
24989,100,Sphere,50,3,cma-es-ppmf-dp-2-pt-0.1
39389,100,Sphere,100,3,cma-es-ppmf-dp-2-pt-0.1
66329,100,Sphere,200,3,cma-es-ppmf-dp-2-pt-0.1
92105,100,Sphere,300,3,cma-es-ppmf-dp-2-pt-0.1
117492,100,Sphere,400,3,cma-es-ppmf-dp-2-pt-0.1
141281,100,Sphere,500,3,cma-es-ppmf-dp-2-pt-0.1
236235,100,Sphere,1000,3,cma-es-ppmf-dp-2-pt-0.1
3409,2,Ellips10,10,3,cma-es-ppmf-dp-2-pt-0.1
2804,2,Ellips10,50,3,cma-es-ppmf-dp-2-pt-0.1
3534,2,Ellips10,100,3,cma-es-ppmf-dp-2-pt-0.1
6029,2,Ellips10,200,3,cma-es-ppmf-dp-2-pt-0.1
8126,2,Ellips10,300,3,cma-es-ppmf-dp-2-pt-0.1
10425,2,Ellips10,400,3,cma-es-ppmf-dp-2-pt-0.1
13025,2,Ellips10,500,3,cma-es-ppmf-dp-2-pt-0.1
20019,2,Ellips10,1000,3,cma-es-ppmf-dp-2-pt-0.1
5400,5,Ellips10,10,3,cma-es-ppmf-dp-2-pt-0.1
3824,5,Ellips10,50,3,cma-es-ppmf-dp-2-pt-0.1
5857,5,Ellips10,100,3,cma-es-ppmf-dp-2-pt-0.1
9245,5,Ellips10,200,3,cma-es-ppmf-dp-2-pt-0.1
12641,5,Ellips10,300,3,cma-es-ppmf-dp-2-pt-0.1
15638,5,Ellips10,400,3,cma-es-ppmf-dp-2-pt-0.1
19037,5,Ellips10,500,3,cma-es-ppmf-dp-2-pt-0.1
34033,5,Ellips10,1000,3,cma-es-ppmf-dp-2-pt-0.1
4971,10,Ellips10,10,3,cma-es-ppmf-dp-2-pt-0.1
4742,10,Ellips10,50,3,cma-es-ppmf-dp-2-pt-0.1
7978,10,Ellips10,100,3,cma-es-ppmf-dp-2-pt-0.1
13667,10,Ellips10,200,3,cma-es-ppmf-dp-2-pt-0.1
18962,10,Ellips10,300,3,cma-es-ppmf-dp-2-pt-0.1
23658,10,Ellips10,400,3,cma-es-ppmf-dp-2-pt-0.1
28055,10,Ellips10,500,3,cma-es-ppmf-dp-2-pt-0.1
49048,10,Ellips10,1000,3,cma-es-ppmf-dp-2-pt-0.1
8337,30,Ellips10,10,3,cma-es-ppmf-dp-2-pt-0.1
13361,30,Ellips10,50,3,cma-es-ppmf-dp-2-pt-0.1
19391,30,Ellips10,100,3,cma-es-ppmf-dp-2-pt-0.1
29345,30,Ellips10,200,3,cma-es-ppmf-dp-2-pt-0.1
36119,30,Ellips10,300,3,cma-es-ppmf-dp-2-pt-0.1
42906,30,Ellips10,400,3,cma-es-ppmf-dp-2-pt-0.1
51602,30,Ellips10,500,3,cma-es-ppmf-dp-2-pt-0.1
87086,30,Ellips10,1000,3,cma-es-ppmf-dp-2-pt-0.1
78495,50,Ellips10,10,3,cma-es-ppmf-dp-2-pt-0.1
23459,50,Ellips10,50,3,cma-es-ppmf-dp-2-pt-0.1
34440,50,Ellips10,100,3,cma-es-ppmf-dp-2-pt-0.1
55274,50,Ellips10,200,3,cma-es-ppmf-dp-2-pt-0.1
70734,50,Ellips10,300,3,cma-es-ppmf-dp-2-pt-0.1
84209,50,Ellips10,400,3,cma-es-ppmf-dp-2-pt-0.1
98696,50,Ellips10,500,3,cma-es-ppmf-dp-2-pt-0.1
143142,50,Ellips10,1000,3,cma-es-ppmf-dp-2-pt-0.1
